parameters,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"thetas[16,14]",2.75891,0.0498321,2.57744,2.54506,-1.40296,2.74813,7.104,2735.7,3009.29,1.00002
"thetas[16,15]",4.74653,0.0489067,2.61067,2.58351,0.336874,4.83674,8.94225,2994.13,2518.0,1.00097
"thetas[16,16]",6.21285,0.0517052,2.58906,2.59671,1.93927,6.25329,10.4467,2541.37,2776.2,1.00107
"thetas[16,17]",4.93453,0.0516441,2.56305,2.53706,0.735489,4.92413,9.24936,2485.83,2879.53,1.00279
"thetas[16,18]",4.83357,0.0502041,2.59951,2.62256,0.625023,4.87528,9.11434,2713.7,2587.28,1.0004
"thetas[16,19]",7.36578,0.0597185,2.63461,2.63492,3.06017,7.31138,11.7604,1988.53,2480.8,1.00142
"thetas[16,20]",7.6506,0.0613187,2.627,2.63603,3.34166,7.61304,12.0605,1872.07,2836.54,1.00321
"thetas[16,21]",6.42407,0.0546224,2.60089,2.59804,2.19778,6.43407,10.6597,2365.29,2739.52,1.00194
"thetas[16,22]",6.50402,0.0675076,2.58381,2.63945,2.27247,6.53762,10.743,1446.28,2566.38,1.00374
"thetas[16,23]",6.14132,0.0575681,2.5344,2.53075,1.91572,6.13204,10.2822,1967.64,2644.17,1.00581
"thetas[16,24]",4.48591,0.0511299,2.52715,2.55423,0.439673,4.47866,8.62196,2512.83,2675.39,1.00079
"thetas[16,25]",3.64079,0.0503528,2.69134,2.68601,-0.689757,3.62397,7.99352,2957.29,2410.78,0.999649
"thetas[17,1]",7.97305,0.0584462,2.87282,2.91359,3.46037,7.89097,12.8191,2449.42,2629.09,0.999821
"thetas[17,2]",5.40469,0.061419,2.63551,2.5786,0.998912,5.43706,9.74177,1880.47,2349.56,1.00169
"thetas[17,3]",6.23528,0.0582624,2.6189,2.64646,1.94678,6.24803,10.4661,2051.02,2614.64,1.00265
"thetas[17,4]",-2.63163,0.0525829,2.56737,2.56776,-6.77555,-2.66881,1.56326,2447.62,2570.97,1.00052
"thetas[17,5]",-4.23584,0.0478963,2.60049,2.61821,-8.42702,-4.24219,0.00411764,2989.71,2782.74,1.00155
"thetas[17,6]",-4.45779,0.0521078,2.53101,2.5206,-8.60647,-4.4832,-0.252484,2402.5,2735.79,1.00055
"thetas[17,7]",-7.68997,0.04649,2.58454,2.65332,-11.8359,-7.7325,-3.4612,3134.9,2940.56,1.00136
"thetas[17,8]",-6.69341,0.0525093,2.573,2.56795,-10.9588,-6.64006,-2.52475,2447.6,3140.32,1.00083
"thetas[17,9]",-6.85294,0.0548237,2.56578,2.59877,-11.1007,-6.85911,-2.52471,2215.72,2767.67,1.00095
"thetas[17,10]",-7.59359,0.050957,2.61537,2.54554,-11.8702,-7.62475,-3.1939,2734.5,3014.3,1.00165
"thetas[17,11]",-2.02847,0.0515516,2.67162,2.7032,-6.30583,-2.04807,2.34253,2711.6,2888.11,1.00242
"thetas[17,12]",-4.42435,0.0510325,2.60093,2.55188,-8.68442,-4.35297,-0.158337,2669.93,2930.38,1.00181
"thetas[17,13]",-7.8191,0.0509951,2.63673,2.56746,-12.2047,-7.84097,-3.44073,2706.87,2536.56,1.0007
"thetas[17,14]",-7.6504,0.0489168,2.66645,2.73334,-11.9172,-7.60222,-3.4285,3057.39,2412.6,1.00026
"thetas[17,15]",-7.44134,0.0460072,2.56727,2.53272,-11.5758,-7.44454,-3.23916,3176.52,2747.15,1.00041
"thetas[17,16]",-2.33666,0.0495627,2.54329,2.62262,-6.60852,-2.34196,1.82203,2661.75,2595.32,1.00139
"thetas[17,17]",0.301,0.0528879,2.69047,2.68737,-4.14152,0.277613,4.72458,2660.5,2774.42,1.00099
"thetas[17,18]",-3.59121,0.0530514,2.6535,2.70796,-8.01829,-3.56742,0.723673,2540.18,2664.32,1.00184
"thetas[17,19]",-7.32424,0.0509344,2.61957,2.55244,-11.7198,-7.29909,-3.14102,2742.81,2875.08,1.00152
"thetas[17,20]",-5.90425,0.0525797,2.57276,2.5511,-10.1331,-5.86087,-1.73048,2455.13,2457.33,1.00286
"thetas[17,21]",-3.00648,0.0496383,2.58131,2.60201,-7.17181,-3.0251,1.16895,2727.86,3189.64,1.0012
"thetas[17,22]",-2.86965,0.058912,2.55202,2.60137,-7.14269,-2.8422,1.25777,1900.32,2417.5,1.00355
"thetas[17,23]",-1.66493,0.0475017,2.48359,2.44782,-5.7845,-1.68335,2.3739,2788.18,3015.89,1.00186
"thetas[17,24]",-1.19032,0.0492082,2.50752,2.48991,-5.24544,-1.19246,2.85702,2642.69,2623.85,1.00054
"thetas[17,25]",-4.45119,0.0464089,2.64677,2.65234,-8.6322,-4.45233,-0.0324163,3313.15,3322.4,1.00055
"thetas[18,1]",-5.69969,0.0525528,2.84641,2.87278,-10.3072,-5.74686,-1.02227,2981.14,2813.84,1.00022
"thetas[18,2]",-1.25158,0.0542282,2.59363,2.62549,-5.48655,-1.27768,3.00379,2342.05,3011.48,1.00076
"thetas[18,3]",-1.47969,0.0537946,2.59405,2.59197,-5.85887,-1.46965,2.7383,2342.25,2512.45,1.00136
"thetas[18,4]",-2.98165,0.0500204,2.57363,2.57202,-7.15517,-2.97492,1.27031,2697.72,2562.76,1.00007
"thetas[18,5]",5.78057,0.0525504,2.62488,2.60043,1.54859,5.75,10.1476,2535.26,3140.19,1.00073
"thetas[18,6]",7.77653,0.0489189,2.63767,2.59184,3.38021,7.75992,12.0944,2928.12,2636.37,1.00188
"thetas[18,7]",8.62624,0.0487513,2.59835,2.56287,4.34582,8.64492,12.8699,2868.42,2884.51,1.00276
"thetas[18,8]",7.27168,0.0530635,2.66294,2.71253,2.85755,7.27294,11.6586,2589.08,2781.94,1.00278
"thetas[18,9]",5.56355,0.0504865,2.62895,2.60875,1.23613,5.59797,9.8749,2772.34,2461.2,1.00034
"thetas[18,10]",5.9849,0.0578188,2.57346,2.51656,1.71621,5.94547,10.1505,2062.3,2820.65,1.0011
"thetas[18,11]",4.44273,0.0513341,2.57462,2.65339,0.322755,4.38795,8.71427,2655.21,2905.91,1.00221
"thetas[18,12]",1.5978,0.0502833,2.58445,2.63593,-2.62873,1.60018,5.72637,2704.7,2670.96,1.00183
"thetas[18,13]",0.0562659,0.0521112,2.66369,2.64409,-4.31792,0.00883033,4.43547,2665.57,2444.07,1.00082
"thetas[18,14]",1.41328,0.057283,2.55808,2.58447,-2.77721,1.38811,5.61877,2003.65,2794.94,1.00119
"thetas[18,15]",0.583538,0.0539061,2.56095,2.51275,-3.77183,0.622653,4.85271,2290.95,2781.16,1.00096
"thetas[18,16]",-2.07457,0.0596315,2.61239,2.64668,-6.39867,-2.02058,2.17706,1971.92,2995.5,1.00108
"thetas[18,17]",-0.113158,0.0565922,2.65662,2.63784,-4.46617,-0.128385,4.26496,2362.16,2551.47,1.00104
"thetas[18,18]",3.2527,0.0547122,2.60258,2.56374,-0.953745,3.19295,7.60365,2312.86,2508.23,1.00078
"thetas[18,19]",4.00929,0.0506838,2.56564,2.55405,-0.192398,3.99524,8.19557,2601.4,2551.67,1.00027
"thetas[18,20]",-0.160782,0.0543562,2.60278,2.63331,-4.44498,-0.140015,4.00045,2315.79,2897.08,1.00101
"thetas[18,21]",-1.70895,0.0564772,2.61874,2.57522,-6.00337,-1.74704,2.68237,2211.72,2491.79,1.00238
"thetas[18,22]",0.112972,0.0554176,2.54391,2.6082,-4.13512,0.152776,4.31043,2119.89,3061.13,1.00056
"thetas[18,23]",-0.161196,0.0505605,2.53394,2.55545,-4.32718,-0.178405,4.04747,2563.67,2859.37,1.00126
"thetas[18,24]",-0.45012,0.0540542,2.56197,2.54776,-4.61466,-0.478973,3.76068,2264.61,2793.08,1.00146
"thetas[18,25]",3.33285,0.051068,2.6614,2.60754,-1.0013,3.34768,7.77863,2749.24,2565.35,1.00106
"thetas[19,1]",4.36991,0.049392,2.74197,2.83483,-0.0493804,4.35001,8.90819,3108.78,3106.99,1.00124
"thetas[19,2]",8.72094,0.0545954,2.62843,2.62764,4.44103,8.73143,13.0428,2359.21,2848.73,1.00192
"thetas[19,3]",0.425489,0.052565,2.69001,2.70871,-4.11776,0.441215,4.82005,2609.54,2518.22,1.00096
"thetas[19,4]",2.34687,0.0608971,2.67328,2.65489,-2.06713,2.32531,6.67925,1946.02,2405.31,1.00074
"thetas[19,5]",-3.49269,0.0585264,2.6545,2.6846,-7.71321,-3.51877,0.825911,2063.95,2446.42,1.00093
"thetas[19,6]",-4.71039,0.0541417,2.59158,2.60844,-8.90313,-4.73044,-0.332047,2354.1,2979.7,1.00166
"thetas[19,7]",-4.62164,0.0515604,2.53446,2.56824,-8.84567,-4.65264,-0.400121,2440.33,3167.48,1.00215
"thetas[19,8]",-10.0635,0.0489633,2.57375,2.55277,-14.3004,-10.0726,-5.84158,2756.72,2667.8,1.00191
"thetas[19,9]",-12.7405,0.0533366,2.65632,2.68076,-17.1148,-12.7426,-8.391,2550.16,2603.16,1.00061
"thetas[19,10]",-13.3771,0.0475979,2.5761,2.53488,-17.5625,-13.4503,-9.08019,3070.8,2630.39,1.00146
"thetas[19,11]",-6.95802,0.0486897,2.61433,2.60078,-11.3152,-6.96689,-2.73797,2936.66,3177.09,1.00168
"thetas[19,12]",-8.13817,0.0499533,2.60042,2.5968,-12.4328,-8.13922,-3.8704,2769.61,2951.79,1.00195
"thetas[19,13]",-2.35348,0.0475242,2.61181,2.58848,-6.69275,-2.37225,1.96419,3168.34,2841.8,1.00051
"thetas[19,14]",-0.502809,0.0492621,2.59789,2.66217,-4.7912,-0.494517,3.70458,2836.27,2443.83,1.00037
"thetas[19,15]",-0.921228,0.0511186,2.59341,2.56685,-5.14564,-0.969842,3.38975,2636.8,2653.29,1.00003
"thetas[19,16]",-2.22223,0.0487053,2.51951,2.52513,-6.30239,-2.2472,2.00612,2729.27,2832.9,1.0021
"thetas[19,17]",-4.91069,0.0533448,2.6238,2.59943,-9.29949,-4.85414,-0.656727,2422.31,2423.56,1.00418
"thetas[19,18]",5.42596,0.0565408,2.57512,2.55602,1.26527,5.43944,9.69386,2038.68,2855.95,1.0046
"thetas[19,19]",6.99756,0.050148,2.54217,2.60282,2.91674,6.95675,11.209,2620.11,3159.68,1.00198
"thetas[19,20]",4.19733,0.052414,2.64317,2.62246,-0.246594,4.1592,8.56879,2600.21,2850.3,1.00144
"thetas[19,21]",4.53003,0.0544539,2.5942,2.57981,0.316123,4.53765,8.80538,2358.05,2810.79,1.00056
"thetas[19,22]",3.68904,0.0525267,2.5201,2.53667,-0.42392,3.68594,7.83449,2320.5,2589.36,1.00268
"thetas[19,23]",-0.942658,0.0561429,2.52414,2.52557,-5.13074,-0.925628,3.16297,2094.48,2292.93,1.00461
"thetas[19,24]",1.23668,0.0524277,2.54192,2.63294,-2.88616,1.21383,5.44489,2409.64,2629.9,1.00477
"thetas[19,25]",0.0247405,0.0476591,2.65169,2.64957,-4.34943,0.0289994,4.30378,3134.78,2885.08,1.00205
"thetas[20,1]",5.07643,0.0567603,2.78434,2.68481,0.660471,4.9694,9.71232,2461.68,2248.6,0.999878
"thetas[20,2]",4.09843,0.0562115,2.64846,2.64646,-0.155183,4.04725,8.57292,2313.66,2649.62,1.00074
"thetas[20,3]",4.59441,0.0524705,2.62535,2.62014,0.262938,4.62047,8.93058,2550.41,2400.31,1.00046
"thetas[20,4]",2.8167,0.0550249,2.60698,2.61307,-1.35489,2.78346,7.14858,2261.48,2761.22,1.00129
"thetas[20,5]",-1.50326,0.0575535,2.68689,2.72487,-5.89118,-1.52285,2.90896,2216.38,2510.48,1.00285
"thetas[20,6]",-0.359875,0.0488714,2.56642,2.56436,-4.55788,-0.411239,3.94237,2880.17,2526.53,1.00085
"thetas[20,7]",-1.14767,0.0523273,2.60236,2.59218,-5.46304,-1.09915,3.11178,2566.95,2638.04,1.00071
"thetas[20,8]",-5.2159,0.0576003,2.59327,2.58731,-9.41655,-5.24491,-0.864609,2123.78,2582.71,1.00192
"thetas[20,9]",-0.622729,0.0508214,2.59662,2.58834,-4.73302,-0.693534,3.71228,2697.21,2798.94,1.00141
"thetas[20,10]",0.192526,0.0467098,2.57872,2.52148,-3.94922,0.175897,4.52602,3098.47,2796.67,1.00029
"thetas[20,11]",-0.685193,0.0582006,2.64722,2.674,-4.9758,-0.698103,3.65417,2060.58,2534.95,1.00318
"thetas[20,12]",0.173218,0.0551035,2.64766,2.54445,-4.15471,0.178528,4.51815,2325.3,2787.82,1.00206
"thetas[20,13]",-1.3151,0.0554291,2.62808,2.7222,-5.50921,-1.28838,3.10961,2328.32,2517.61,1.00115
"thetas[20,14]",-0.596602,0.0610599,2.60175,2.61094,-4.80729,-0.594417,3.75225,1832.69,2340.34,1.00091
"thetas[20,15]",0.225773,0.0610881,2.67714,2.68056,-4.21676,0.174325,4.55907,1953.3,2348.39,1.00264
